symbol,sector,sub_sector
KUH,Cyclical Consumer Services, Restaurants & Bars
KUO,Mineral Resources, Construction Materials
KUX,Financial Technology (Fintech) & Infrastructure, Blockchain & Cryptocurrency
L02,Utilities, Electric Utilities
L19,Industrial & Commercial Services, Construction & Engineering
L23,Industrial & Commercial Services, Environmental Services & Equipment
L38,Cyclical Consumer Services, Hotels
LJ3,Real Estate, Real Estate Development & Operations
LMS,Industrial & Commercial Services, Business Support Services
LS9,Industrial & Commercial Services, Environmental Services & Equipment
LUY,Software & IT Services, Software
LVR,Software & IT Services, Internet Services
LYY,Software & IT Services, IT Services & Consulting
M01,Retailers, Department Stores
M03,Technology Equipment, Computer Hardware
M04,Cyclical Consumer Services, Hotels
M05,Energy - Fossil Fuels, Oil Related Services and Equipme
M11,Technology Equipment, Semiconductor Equipment & Testing
M14,Cyclical Consumer Products, Construction Supplies & Fixtures
M15,Chemicals, Specialty Chemicals
M1GU,Real Estate, Commercial REITs
M44U,Real Estate, Commercial REITs
ME8U,Real Estate, Commercial REITs
MF6,Industrial & Commercial Services, Construction & Engineering
MIJ,Healthcare Services, Healthcare Facilities & Services
MR7,Industrial & Commercial Services, Construction & Engineering
MV4,Food & Beverages, Food Processing
MXNU,Real Estate, Commercial REITs
MZH,Chemicals, Specialty Chemicals
N01,Technology Equipment, Communications & Networking
N02,Mineral Resources, Construction Materials
N08,Applied Resources, Paper Packaging
N0Z,Personal & Household Products & Services, Personal Products
N2IU,Real Estate, Commercial REITs
N32,Applied Resources, Paper Products
NC2,Automobiles & Auto Parts, Tires & Rubber Products
NEX,Industrial & Commercial Services, Environmental Services & Equipment
NHD,Industrial Goods, Industrial Machinery & Equipment
NIO,Automobiles & Auto Parts, Auto & Truck Manufacturers
NLC,Industrial & Commercial Services, Environmental Services & Equipment
NO4,Energy - Fossil Fuels, Oil Related Services and Equipme
NPL,Personal & Household Products & Services, Personal Services
NPW,Mineral Resources, Specialty Mining & Metals
NR7,Academic & Educational Services, Professional & Business Education
NS8U,Transportation, Marine Port Services
NXR,Technology Equipment, Integrated Hardware & Software
O08,Retailers, Apparel & Accessories Retailers
O10,Real Estate, Real Estate Development & Operations
O39,Banking & Investment Services, Banks
O5RU,Real Estate, Commercial REITs
O9E,Retailers, Department Stores
OAJ,Mineral Resources, Iron & Steel
ODBU,Real Estate, Commercial REITs
OMK,Cyclical Consumer Services, Entertainment Production
OTS,Food & Beverages, Food Processing
OTX,Industrial & Commercial Services, Business Support Services
OU8,Real Estate, Real Estate Development & Operations
OV8,Food & Drug Retailing, Food Retail & Distribution
OXMU,Real Estate, Commercial REITs
OYY,Real Estate, Real Estate Services
P15,Holding Companies, Investment Holding Companies
P34,Food & Beverages, Food Processing
P36,Real Estate, Real Estate Development & Operations
P40U,Real Estate, Commercial REITs
P52,Mineral Resources, Construction Materials
P74,Food & Beverages, Food Processing
P8A,Healthcare Services, Healthcare Facilities & Services
P8Z,Food & Beverages, Food Processing
P9D,Industrial & Commercial Services, Construction & Engineering
PA3,Real Estate, Real Estate Development & Operations
PH0,Real Estate, Real Estate Development & Operations
PPC,Cyclical Consumer Services, Hotels
PRH,Healthcare Services, Healthcare Facilities & Services
Q01,Food & Beverages, Food Processing
Q0F,Healthcare Services, Healthcare Facilities & Services
Q0X,Industrial & Commercial Services, Construction & Engineering
Q5T,Real Estate, Specialized REITs
QC7,Healthcare Services, Healthcare Facilities & Services
QES,Chemicals, Specialty Chemicals
QNS,Mineral Resources, Iron & Steel
QS9,Technology Equipment, Communications & Networking
QSD,Energy - Fossil Fuels, Coal
QZG,Technology Equipment, Computer Hardware
R14,Energy - Fossil Fuels, Integrated Oil & Gas
RCU,Software & IT Services, IT Services & Consulting
RDR,Technology Equipment, Electronic Equipment & Parts
RE4,Energy - Fossil Fuels, Coal
RQ1,Academic & Educational Services, Miscellaneous Educational Service Providers
RXS,Energy - Fossil Fuels, Oil & Gas Transportation Servic
S07,Cyclical Consumer Services, Hotels
S08,Transportation, Air Freight & Logistics
S19,Industrial Goods, Shipbuilding
S20,Mineral Resources, Specialty Mining & Metals
S23,Banking & Investment Services, Banks
S29,Automobiles & Auto Parts, Tires & Rubber Products
S35,Banking & Investment Services, Banks
S3N,Industrial & Commercial Services, Construction & Engineering
S41,Banking & Investment Services, Corporate Financial Services
S44,Mineral Resources, Construction Materials
S56,Transportation, Marine Freight & Logistics
S58,Transportation, Airport Services
S59,Transportation, Airport Services
S61,Transportation, Passenger Transportation
S63,Industrial Goods, Aerospace & Defense
S68,Banking & Investment Services, Financial & Commodity Market Operators
S69,Industrial Goods, Electrical Components & Equipment
S71,Technology Equipment, Semiconductor Equipment & Testing
S7OU,Cyclical Consumer Services, Broadcasting
S7P,Industrial & Commercial Services, Construction & Engineering
S85,Cyclical Consumer Services, Leisure & Recreation
S9B,Real Estate, Real Estate Development & Operations
SEJ,Cyclical Consumer Services, Entertainment Production
SES,Industrial & Commercial Services, Environmental Services & Equipment
SGR,Industrial & Commercial Services, Employment Services
SJY,Automobiles & Auto Parts, Auto
SK6U,Real Estate, Commercial REITs
STC,Technology Equipment, Communications & Networking
STG,Healthcare Services, Medical Equipment
T12,Applied Resources, Paper Packaging
T13,Energy - Fossil Fuels, Oil & Gas Exploration and Productio
T14,Pharmaceuticals & Medical Research, Pharmaceuticals
T15,Transportation, Ground Freight & Logistics
T24,Real Estate, Real Estate Development & Operations
T41,Technology Equipment, Phones & Handheld Devices
T43,Cyclical Consumer Products, Construction Supplies & Fixtures
T55,Collective Investments, Closed End Funds
T6I,Retailers, Apparel & Accessories Retailers
T82U,Real Estate, Commercial REITs
TATD,Transportation,Other Transportation
TCPD,Retail Trade,Food Retail
TCU,Industrial & Commercial Services, Professional Information Services
TPED,Energy Minerals,Integrated Oil
TQ5,Real Estate, Real Estate Development & Operations
TS0U,Real Estate, Diversified REITs
TVV,Industrial & Commercial Services, Business Support Services
TWL,Industrial & Commercial Services, Construction & Engineering
U06,Real Estate, Real Estate Development & Operations
U09,Cyclical Consumer Products, Construction Supplies & Fixtures
U10,Banking & Investment Services, Investment Banking & Brokerage Services
U11,Banking & Investment Services, Banks
U13,Insurance, Multiline Insurance & Brokers
U14,Real Estate, Real Estate Development & Operations
U77,Industrial Goods, Industrial Machinery & Equipment
U96,Utilities, Multiline Utilities
U9E,Utilities, Water Utilities
UD1U,Real Estate, Commercial REITs
UD2,Food & Beverages, Food Processing
UIX,Automobiles & Auto Parts, Auto & Truck Manufacturers
URR,Cyclical Consumer Services, Leisure & Recreation
UUK,Healthcare Services, Advanced Medical Equipment & Technology
V03,Technology Equipment, Electronic Equipment & Parts
V2Y,Insurance, Multiline Insurance & Brokers
V3M,Industrial & Commercial Services, Environmental Services & Equipment
V7R,Energy - Fossil Fuels, Coal
V8Y,Healthcare Services, Healthcare Facilities & Services
VC2,Food & Beverages, Food Processing
VI2,Automobiles & Auto Parts, Auto & Truck Manufacturers
VVL,Software & IT Services, IT Services & Consulting
W05,Real Estate, Real Estate Development & Operations
WJ9,Technology Equipment, Semiconductor Equipment & Testing
WJP,Industrial & Commercial Services, Business Support Services
WKS,Industrial & Commercial Services, Business Support Services
WPC,Transportation, Marine Freight & Logistics
WVJ,Retailers, Apparel & Accessories Retailers
XCF,Cyclical Consumer Products, Apparel & Accessories
XJB,Cyclical Consumer Services, Entertainment Production
XVG,Industrial & Commercial Services, Construction & Engineering
XZL,Real Estate, Specialized REITs
Y03,Food & Beverages, Food Processing
Y06,Industrial & Commercial Services, Construction & Engineering
Y35,Energy - Fossil Fuels, Oil & Gas Refining and Marketin
Y3D,Retailers, Computer & Electronics Retailers
Y45,Transportation, Airport Services
Y8E,Chemicals, Commodity Chemicals
Y92,Food & Beverages, Distillers & Wineries
YF8,Banking & Investment Services, Investment Management & Fund Operators
YK9,Cyclical Consumer Services, Restaurants & Bars
YYB,Industrial & Commercial Services, Employment Services
YYN,Software & IT Services, IT Services & Consulting
Z25,Real Estate, Real Estate Development & Operations
Z4D,Healthcare Services, Healthcare Facilities & Services
Z59,Real Estate, Real Estate Development & Operations
Z74,Telecommunications Services, Integrated Telecommunications Services
Z77,Telecommunications Services, Integrated Telecommunications Services
ZB9,Mineral Resources, Iron & Steel
ZKX,Industrial & Commercial Services, Construction & Engineering
ZXY,Industrial & Commercial Services, Construction & Engineering
